timestamp,best_score,learning_rate,weight_decay,hidden_layers,hp_dataset_size,random_state
2026-01-08T15:50:23.267811Z,-1.1435720530653741,5.825927441944048e-05,7.71959632575087e-05,160,13,0
2026-01-08T16:21:33.387303Z,-0.7679223331727484,3.0835769563007386e-05,2.9769858517031513e-05,128,18,0
2026-01-08T17:05:00.746564Z,-0.43591057799523825,1.5308954076476222e-05,8.699407195095732e-05,192,23,0
2026-01-08T17:29:28.910683Z,-0.43591057799523825,1.5308954076476222e-05,8.699407195095732e-05,192,28,0
2026-01-08T18:02:09.609716Z,-0.4295140296686274,2.8239506208239383e-05,2.9769858517031513e-05,192,33,0
